metric,A,B,diff_mean(A-B),ci95_lo,ci95_hi,p_two_sided_boot,cohen_d,nA,nB,B_iter
collapse_rate,HUM,STEM,0.11769791666666665,0.11244778645833334,0.12295833333333334,0.0,2.7522750816086523,500,500,20000
collapse_rate,HUM,ETH,0.161171875,0.15604166666666666,0.16628125,0.0,3.865336554123872,500,500,20000
collapse_rate,HUM,TEMP,0.13827604166666665,0.13302083333333334,0.14345833333333333,0.0,3.284192735645477,500,500,20000
collapse_rate,STEM,ETH,0.043473958333333326,0.04196875,0.045015625,0.0,3.50121628792683,500,500,20000
collapse_rate,STEM,TEMP,0.020578124999999996,0.01885403645833333,0.02230729166666667,0.0,1.4997533769478226,500,500,20000
collapse_rate,ETH,TEMP,-0.02289583333333333,-0.024140625,-0.021682291666666666,0.0,-2.3112390846872093,500,500,20000
intervene_rate,HUM,STEM,0.03976041666666663,0.037854166666666744,0.04167187499999997,0.0,2.584971384106228,500,500,20000
intervene_rate,HUM,ETH,0.054536458333333315,0.05270312500000007,0.05636458333333333,0.0,3.6909286187452928,500,500,20000
intervene_rate,HUM,TEMP,0.047010416666666555,0.0451145833333334,0.048875,0.0,3.108582453838049,500,500,20000
intervene_rate,STEM,ETH,0.014776041666666684,0.014109375000000089,0.015458333333333407,0.0,2.6624518797243195,500,500,20000
intervene_rate,STEM,TEMP,0.007249999999999923,0.006468749999999968,0.008041666666666614,0.0,1.12986280228791,500,500,20000
intervene_rate,ETH,TEMP,-0.007526041666666761,-0.008119791666666654,-0.0069270833333333615,0.0,-1.57230005752654,500,500,20000
