metric,A,B,diff_mean(A-B),ci95_lo,ci95_hi,p_two_sided_boot,p_holm,cohen_d,nA,nB
collapse_rate,HUM,STEM,0.11456453816689241,0.1090388965434808,0.12016236265678085,0.0,0.0,2.524783224063583,510,500
collapse_rate,HUM,ETH,0.15803849650022575,0.15266563990397,0.16343338105365718,0.0,0.0,3.560885895726276,510,500
collapse_rate,HUM,TEMP,0.12485360066689241,0.11944952709216848,0.1303579131543779,0.0,0.0,3.234234760425161,510,1000
collapse_rate,HUM,META,0.1574395381668924,0.15213647393663435,0.1628520546198172,0.0,0.0,3.57628940442907,510,500
collapse_rate,STEM,ETH,0.04347395833333334,0.04195833333333334,0.045010416666666664,0.0,0.0,3.5012162879268307,500,500
collapse_rate,STEM,TEMP,0.010289062500000001,0.0085625,0.012023502604166658,0.0,0.0,0.6176755229163801,500,1000
collapse_rate,STEM,META,0.042875,0.041520833333333326,0.044244791666666665,0.0,0.0,3.879268556813145,500,500
collapse_rate,ETH,TEMP,-0.03318489583333334,-0.034484375,-0.03191139322916667,0.0,0.0,-2.250497921713849,500,1000
collapse_rate,ETH,META,-0.0005989583333333342,-0.0012916666666666658,0.00011979166666666562,0.0965,0.0965,-0.10584372630911314,500,500
collapse_rate,TEMP,META,0.0325859375,0.03153125,0.03364322916666666,0.0,0.0,2.3269873691046414,1000,500
intervene_rate,HUM,STEM,0.03246636860436686,0.027480371586711298,0.037023327439991635,0.0,0.0,0.8167390062048658,510,500
intervene_rate,HUM,ETH,0.04724241027103354,0.04221791486552753,0.051789398611167624,0.0,0.0,1.1953103120717201,510,500
intervene_rate,HUM,TEMP,0.03609136860436685,0.030988723970034555,0.04064707846843675,0.0,0.0,1.1002841952365483,510,1000
intervene_rate,HUM,META,0.36721636860436685,0.3622223845679994,0.3718008855680336,0.0,0.0,9.309689280044035,510,500
intervene_rate,STEM,ETH,0.014776041666666684,0.014093750000000016,0.015463541666666636,0.0,0.0,2.6624518797243195,500,500
intervene_rate,STEM,TEMP,0.0036249999999999893,0.002867122395833259,0.004390624999999928,0.0,0.0,0.5000765580668873,500,1000
intervene_rate,STEM,META,0.33475,0.33415104166666665,0.335359375,0.0,0.0,67.58674869123205,500,500
intervene_rate,ETH,TEMP,-0.011151041666666694,-0.011708333333333265,-0.010593750000000068,0.0,0.0,-1.7548242583213587,500,1000
intervene_rate,ETH,META,0.3199739583333333,0.31967708333333333,0.3203020833333333,0.0,0.0,127.79567974262707,500,500
intervene_rate,TEMP,META,0.331125,0.33066927083333336,0.33159375,0.0,0.0,55.03239052647758,1000,500
