pillar,cause,n_baseline,n_controlled,rate_baseline,rate_controlled,delta_controlled_minus_baseline,delta_ci95_lo,delta_ci95_hi,RR_controlled_vs_baseline,RR_ci95_lo,RR_ci95_hi,OR_controlled_vs_baseline,OR_ci95_lo,OR_ci95_hi
ETH,PI,500,500,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ETH,REP,500,500,0.662,0.0,-0.662,-0.704,-0.62,0.0015082956259426846,0.0014184397163120566,0.001610305958132045,0.0005108014157787914,0.00042085574000467617,0.0006129136563919173
ETH,TOO_SHORT,500,500,0.318,0.116,-0.202,-0.252,-0.152,0.3667711598746082,0.2732732732732733,0.47703180212014135,0.28305616067159023,0.19989237377287356,0.39074744484669083
ETH,HIT_MAX,500,500,0.002,0.03,0.027999999999999997,0.013999999999999999,0.044,10.333333333333332,3.2857142857142856,43.00000000000001,10.631307929969104,3.339413395593171,44.88321167883212
ETH,BUDGET_EXCEEDED,500,500,0.0,0.8,0.8,0.764,0.834,801.0000000000001,765.0,835.0000000000001,3989.0597014925374,3231.0759493670885,5005.0
ETH,OTHER,500,500,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ETH,NONE,500,500,0.018,0.054,0.036000000000000004,0.013999999999999999,0.06,2.894736842105263,1.4848484848484849,7.0,3.004779636525315,1.5097777353810933,7.402555910543131
HUM,PI,500,500,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HUM,REP,500,500,0.52,0.0,-0.52,-0.564,-0.476,0.0019193857965451055,0.0017699115044247785,0.0020964360587002098,0.0009223022658723235,0.0007726786487848435,0.0010995294014161938
HUM,TOO_SHORT,500,500,0.462,0.168,-0.29400000000000004,-0.348,-0.24,0.3650107991360691,0.2900578513388624,0.44766146993318484,0.2361834582645153,0.17454577708769156,0.31276753833149334
HUM,HIT_MAX,500,500,0.0,0.004,0.004,0.0,0.01,5.0,1.0,11.000000000000002,5.020060180541625,1.0,11.110998990918265
HUM,BUDGET_EXCEEDED,500,500,0.0,0.784,0.784,0.748,0.82,785.0000000000001,749.0,821.0000000000001,3621.1290322580644,2963.4347826086955,4540.447513812154
HUM,OTHER,500,500,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HUM,NONE,500,500,0.018,0.044,0.026,0.0040000000000000036,0.048,2.3684210526315788,1.173913043478261,5.666666666666667,2.43276687015344,1.1787423814478966,5.916929547844374
META,PI,500,500,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
META,REP,500,500,0.548,0.0,-0.548,-0.592,-0.504,0.001821493624772313,0.0016863406408094434,0.0019801980198019802,0.0008243122997221358,0.0006890242977932691,0.0009831752406009831
META,TOO_SHORT,500,500,0.428,0.134,-0.294,-0.346,-0.24199999999999997,0.3146853146853147,0.24406047516198703,0.39676252410051865,0.20797541558787233,0.15097999866211786,0.2811407048695184
META,HIT_MAX,500,500,0.0,0.01,0.01,0.002,0.02,11.000000000000002,3.0000000000000004,21.0,11.110998990918265,3.006006006006006,21.428134556574925
META,BUDGET_EXCEEDED,500,500,0.0,0.8,0.8,0.764,0.834,801.0000000000001,765.0,835.0000000000001,3989.0597014925374,3231.0759493670885,5005.0
META,OTHER,500,500,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
META,NONE,500,500,0.024,0.056,0.032,0.008,0.05600000000000001,2.28,1.2285714285714286,4.846153846153846,2.3572063492063493,1.2388201996126917,5.104202506758417
STEM,PI,500,500,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
STEM,REP,500,500,0.382,0.0,-0.382,-0.424,-0.34,0.002610966057441253,0.002352941176470588,0.0029325513196480934,0.0016145734161399957,0.0013562907680554738,0.001936479942345045
STEM,TOO_SHORT,500,500,0.6,0.12,-0.48,-0.532,-0.42799999999999994,0.20133111480865226,0.15422885572139303,0.2530551823194179,0.09163879346001085,0.0653432836702231,0.1245772550255316
STEM,HIT_MAX,500,500,0.0,0.044,0.044,0.026,0.062,45.00000000000001,27.000000000000004,63.0,47.06896551724138,27.72,67.15974440894568
STEM,BUDGET_EXCEEDED,500,500,0.0,0.77,0.77,0.732,0.806,771.0000000000001,733.0000000000001,807.0,3341.0,2727.631970260223,4142.6
STEM,OTHER,500,500,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
STEM,NONE,500,500,0.018,0.066,0.048,0.024,0.07200000000000001,3.526315789473684,1.8888888888888888,8.111904761904691,3.7073459048691246,1.9365580091132142,8.672701967117039
