exp_id,mode,pillar,seed,model_id,prompt_id,collapse_run,collapse_reason,core_collapse_run,core_collapse_reason,budget_exhausted,intervene_bin,n_tokens_total,n_interventions,intervene_density,H_pre,runtime_sec,extra_tokens_due_to_intervention
vNEXT-0.1,baseline,TEMP,0,gpt2,0,1,REP,1,REP,0,0,81,0,0.0,,2.680293083190918,0.0
vNEXT-0.1,baseline,TEMP,1,gpt2,1,1,TOO_SHORT,1,TOO_SHORT,0,0,29,0,0.0,,0.38126707077026367,0.0
vNEXT-0.1,baseline,TEMP,2,gpt2,2,1,REP,1,REP,0,0,102,0,0.0,,3.1218643188476562,0.0
vNEXT-0.1,baseline,TEMP,3,gpt2,3,1,REP,1,REP,0,0,85,0,0.0,,3.07863712310791,0.0
vNEXT-0.1,baseline,TEMP,4,gpt2,4,1,REP,1,REP,0,0,82,0,0.0,,3.0623648166656494,0.0
vNEXT-0.1,baseline,TEMP,5,gpt2,5,1,REP,1,REP,0,0,112,0,0.0,,4.483058929443359,0.0
vNEXT-0.1,baseline,TEMP,6,gpt2,6,1,TOO_SHORT,1,TOO_SHORT,0,0,43,0,0.0,,1.1620259284973145,0.0
vNEXT-0.1,baseline,TEMP,7,gpt2,7,1,TOO_SHORT,1,TOO_SHORT,0,0,55,0,0.0,,1.735051155090332,0.0
vNEXT-0.1,baseline,TEMP,8,gpt2,8,1,REP,1,REP,0,0,118,0,0.0,,4.88084602355957,0.0
vNEXT-0.1,baseline,TEMP,9,gpt2,9,1,REP,1,REP,0,0,119,0,0.0,,4.9077088832855225,0.0
vNEXT-0.1,baseline,TEMP,10,gpt2,10,1,REP,1,REP,0,0,72,0,0.0,,2.554515838623047,0.0
vNEXT-0.1,baseline,TEMP,11,gpt2,11,0,NONE,0,NONE,0,0,175,0,0.0,,8.63061809539795,0.0
vNEXT-0.1,baseline,TEMP,12,gpt2,12,1,TOO_SHORT,1,TOO_SHORT,0,0,51,0,0.0,,1.572510004043579,0.0
vNEXT-0.1,baseline,TEMP,13,gpt2,13,1,TOO_SHORT,1,TOO_SHORT,0,0,33,0,0.0,,0.8168058395385742,0.0
vNEXT-0.1,baseline,TEMP,14,gpt2,14,1,REP,1,REP,0,0,83,0,0.0,,2.9735331535339355,0.0
vNEXT-0.1,baseline,TEMP,15,gpt2,15,1,TOO_SHORT,1,TOO_SHORT,0,0,28,0,0.0,,0.5332491397857666,0.0
vNEXT-0.1,baseline,TEMP,16,gpt2,16,1,REP,1,REP,0,0,148,0,0.0,,6.983935117721558,0.0
vNEXT-0.1,baseline,TEMP,17,gpt2,17,0,NONE,0,NONE,0,0,83,0,0.0,,2.9350640773773193,0.0
vNEXT-0.1,baseline,TEMP,18,gpt2,18,1,REP,1,REP,0,0,114,0,0.0,,4.915957927703857,0.0
vNEXT-0.1,baseline,TEMP,19,gpt2,19,1,REP,1,REP,0,0,77,0,0.0,,2.851956844329834,0.0
vNEXT-0.1,baseline,TEMP,20,gpt2,20,1,REP,1,REP,0,0,106,0,0.0,,4.185917854309082,0.0
vNEXT-0.1,baseline,TEMP,21,gpt2,21,1,REP,1,REP,0,0,103,0,0.0,,4.232486724853516,0.0
vNEXT-0.1,baseline,TEMP,22,gpt2,22,1,REP,1,REP,0,0,281,0,0.0,,18.152156352996826,0.0
vNEXT-0.1,baseline,TEMP,23,gpt2,23,1,REP,1,REP,0,0,114,0,0.0,,4.784739971160889,0.0
vNEXT-0.1,baseline,TEMP,24,gpt2,24,1,TOO_SHORT,1,TOO_SHORT,0,0,63,0,0.0,,2.158820152282715,0.0
vNEXT-0.1,baseline,TEMP,25,gpt2,25,1,REP,1,REP,0,0,95,0,0.0,,4.259972810745239,0.0
vNEXT-0.1,baseline,TEMP,26,gpt2,26,0,NONE,0,NONE,0,0,105,0,0.0,,4.729188919067383,0.0
vNEXT-0.1,baseline,TEMP,27,gpt2,27,1,REP,1,REP,0,0,181,0,0.0,,9.664007902145386,0.0
vNEXT-0.1,baseline,TEMP,28,gpt2,28,1,TOO_SHORT,1,TOO_SHORT,0,0,29,0,0.0,,0.46161317825317383,0.0
vNEXT-0.1,baseline,TEMP,29,gpt2,29,1,REP,1,REP,0,0,113,0,0.0,,5.612868785858154,0.0
vNEXT-ctrl100,controlled100,TEMP,0,gpt2,0,0,NONE,0,NONE,0,1,262,42,0.16030534351145037,81.0,15.131939172744751,54.0
vNEXT-ctrl100,controlled100,TEMP,1,gpt2,1,1,TOO_SHORT,1,TOO_SHORT,0,0,29,0,0.0,,0.39974498748779297,0.0
vNEXT-ctrl100,controlled100,TEMP,2,gpt2,2,0,NONE,0,NONE,0,1,549,35,0.06375227686703097,102.0,41.586418867111206,29.0
vNEXT-ctrl100,controlled100,TEMP,3,gpt2,3,0,NONE,1,REP,1,1,460,100,0.21739130434782608,85.0,28.586005926132202,54.0
vNEXT-ctrl100,controlled100,TEMP,4,gpt2,4,0,NONE,0,NONE,0,1,180,21,0.11666666666666667,82.0,9.029495000839233,46.0
vNEXT-ctrl100,controlled100,TEMP,5,gpt2,5,0,NONE,1,REP,1,1,515,100,0.1941747572815534,112.0,30.30171012878418,23.0
vNEXT-ctrl100,controlled100,TEMP,6,gpt2,6,0,NONE,0,NONE,0,1,530,72,0.13584905660377358,43.0,33.194809675216675,97.0
vNEXT-ctrl100,controlled100,TEMP,7,gpt2,7,0,NONE,0,NONE,0,1,529,42,0.07939508506616257,55.0,35.26662516593933,59.0
vNEXT-ctrl100,controlled100,TEMP,8,gpt2,8,0,NONE,0,NONE,0,1,530,18,0.033962264150943396,118.0,38.68535900115967,16.0
vNEXT-ctrl100,controlled100,TEMP,9,gpt2,9,0,NONE,0,NONE,0,1,531,43,0.08097928436911488,119.0,31.976922035217285,15.0
vNEXT-ctrl100,controlled100,TEMP,10,gpt2,10,0,NONE,0,NONE,0,1,528,57,0.10795454545454546,72.0,32.90732002258301,29.0
vNEXT-ctrl100,controlled100,TEMP,11,gpt2,11,0,NONE,0,NONE,0,0,175,0,0.0,,8.550796031951904,0.0
vNEXT-ctrl100,controlled100,TEMP,12,gpt2,12,1,TOO_SHORT,1,TOO_SHORT,0,0,51,0,0.0,,1.5662510395050049,0.0
vNEXT-ctrl100,controlled100,TEMP,13,gpt2,13,1,TOO_SHORT,1,TOO_SHORT,0,0,33,0,0.0,,0.8288960456848145,0.0
vNEXT-ctrl100,controlled100,TEMP,14,gpt2,14,0,NONE,0,NONE,0,1,533,51,0.09568480300187618,83.0,35.530433654785156,47.0
vNEXT-ctrl100,controlled100,TEMP,15,gpt2,15,1,TOO_SHORT,1,TOO_SHORT,0,0,28,0,0.0,,0.5966269969940186,0.0
vNEXT-ctrl100,controlled100,TEMP,16,gpt2,16,0,NONE,0,NONE,0,1,529,36,0.06805293005671077,148.0,35.819581031799316,10.0
vNEXT-ctrl100,controlled100,TEMP,17,gpt2,17,0,NONE,0,NONE,0,0,83,0,0.0,,2.8393049240112305,0.0
vNEXT-ctrl100,controlled100,TEMP,18,gpt2,18,0,NONE,0,NONE,0,1,527,60,0.11385199240986717,114.0,31.116466283798218,22.0
vNEXT-ctrl100,controlled100,TEMP,19,gpt2,19,0,NONE,0,NONE,0,1,527,89,0.16888045540796964,77.0,30.916290044784546,49.0
vNEXT-ctrl100,controlled100,TEMP,20,gpt2,20,0,NONE,0,NONE,0,1,532,53,0.09962406015037593,106.0,31.37139892578125,16.0
vNEXT-ctrl100,controlled100,TEMP,21,gpt2,21,0,NONE,0,NONE,0,1,527,87,0.1650853889943074,103.0,30.542320013046265,21.0
vNEXT-ctrl100,controlled100,TEMP,22,gpt2,22,0,NONE,0,NONE,0,1,527,9,0.017077798861480076,281.0,38.58080267906189,0.0
vNEXT-ctrl100,controlled100,TEMP,23,gpt2,23,0,NONE,0,NONE,0,1,529,30,0.05671077504725898,114.0,36.005319118499756,13.0
vNEXT-ctrl100,controlled100,TEMP,24,gpt2,24,0,NONE,1,REP,1,1,495,100,0.20202020202020202,63.0,28.7345552444458,64.0
vNEXT-ctrl100,controlled100,TEMP,25,gpt2,25,0,NONE,0,NONE,0,1,531,96,0.1807909604519774,95.0,31.332197904586792,34.0
