exp_id,mode,pillar,seed,seed_source,model_id,prompt_id,collapse_run,collapse_reason,core_collapse_run,core_collapse_reason,budget_exhausted,collapse_core,collapse_core_reason,stop_aux,stop_aux_reason,intervene_bin,n_tokens_total,n_interventions,intervene_density,H_pre,runtime_sec,extra_tokens_due_to_intervention
vNEXT-OLLAMA-7B-SMOKE-V3,baseline,ETH,0,meta,gemma:7b,0,1,REP,1,REP,0,1,REP,0,NONE,0,337,0,0.0,,18.896908044815063,0.0
vNEXT-OLLAMA-7B-SMOKE-V3,baseline,ETH,1,meta,gemma:7b,1,0,NONE,0,NONE,0,0,NONE,0,NONE,0,522,0,0.0,,31.09400773048401,0.0
vNEXT-OLLAMA-7B-SMOKE-V3,baseline,ETH,2,meta,gemma:7b,2,1,REP,1,REP,0,1,REP,0,NONE,0,209,0,0.0,,10.068410873413086,0.0
vNEXT-OLLAMA-7B-SMOKE-V3,controlled,ETH,0,meta,gemma:7b,0,0,NONE,0,NONE,0,0,NONE,0,NONE,1,304,9,0.029605263157894735,,77.23438382148743,363.0
vNEXT-OLLAMA-7B-SMOKE-V3,controlled,ETH,1,meta,gemma:7b,1,0,NONE,0,NONE,0,0,NONE,0,NONE,0,522,0,0.0,,31.016186237335205,0.0
vNEXT-OLLAMA-7B-SMOKE-V3,controlled,ETH,2,meta,gemma:7b,2,0,NONE,0,NONE,0,0,NONE,0,NONE,1,515,9,0.017475728155339806,,81.8749771118164,473.0
vNEXT-OLLAMA-7B-SMOKE-V3,baseline,HUM,0,meta,gemma:7b,0,1,REP,1,REP,0,1,REP,0,NONE,0,183,0,0.0,,10.18850588798523,0.0
vNEXT-OLLAMA-7B-SMOKE-V3,baseline,HUM,1,meta,gemma:7b,1,1,REP,1,REP,0,1,REP,0,NONE,0,161,0,0.0,,10.25993299484253,0.0
vNEXT-OLLAMA-7B-SMOKE-V3,baseline,HUM,2,meta,gemma:7b,2,1,REP,1,REP,0,1,REP,0,NONE,0,242,0,0.0,,14.2429518699646,0.0
vNEXT-OLLAMA-7B-SMOKE-V3,controlled,HUM,0,meta,gemma:7b,0,0,NONE,0,NONE,0,0,NONE,0,NONE,1,361,10,0.027700831024930747,,80.5001220703125,468.0
vNEXT-OLLAMA-7B-SMOKE-V3,controlled,HUM,1,meta,gemma:7b,1,0,NONE,0,NONE,0,0,NONE,0,NONE,1,331,10,0.030211480362537766,,80.96497464179993,425.0
vNEXT-OLLAMA-7B-SMOKE-V3,controlled,HUM,2,meta,gemma:7b,2,0,NONE,0,NONE,0,0,NONE,0,NONE,1,375,9,0.024,,79.65199112892151,390.0
vNEXT-OLLAMA-7B-SMOKE-V3,baseline,META,0,meta,gemma:7b,0,1,REP,1,REP,0,1,REP,0,NONE,0,265,0,0.0,,13.391295909881592,0.0
vNEXT-OLLAMA-7B-SMOKE-V3,baseline,META,1,meta,gemma:7b,1,1,REP,1,REP,0,1,REP,0,NONE,0,207,0,0.0,,12.581345081329346,0.0
vNEXT-OLLAMA-7B-SMOKE-V3,baseline,META,2,meta,gemma:7b,2,1,REP,1,REP,0,1,REP,0,NONE,0,234,0,0.0,,13.13312315940857,0.0
vNEXT-OLLAMA-7B-SMOKE-V3,controlled,META,0,meta,gemma:7b,0,0,NONE,0,NONE,0,0,NONE,0,NONE,1,420,9,0.02142857142857143,,78.78163194656372,467.0
vNEXT-OLLAMA-7B-SMOKE-V3,controlled,META,1,meta,gemma:7b,1,0,NONE,0,NONE,0,0,NONE,0,NONE,1,266,10,0.03759398496240601,,71.66076183319092,341.0
