exp_id,mode,pillar,seed,seed_source,model_id,prompt_id,collapse_run,collapse_reason,core_collapse_run,core_collapse_reason,budget_exhausted,collapse_core,collapse_core_reason,stop_aux,stop_aux_reason,intervene_bin,n_tokens_total,n_interventions,intervene_density,H_pre,runtime_sec,extra_tokens_due_to_intervention
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-BASELINE,baseline,STEM,0,meta,gemma:7b,0,1,REP,1,REP,0,1,REP,0,NONE,0,54,0,0.0,,6.330535173416138,0.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-BASELINE,baseline,STEM,1,meta,gemma:7b,1,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,5,0,0.0,,2.4582910537719727,0.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-BASELINE,baseline,STEM,2,meta,gemma:7b,2,1,PI,1,PI,0,1,PI,0,NONE,0,25,0,0.0,,2.0873100757598877,0.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-BASELINE,baseline,STEM,3,meta,gemma:7b,3,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,5,0,0.0,,2.06506609916687,0.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-BASELINE,baseline,STEM,4,meta,gemma:7b,4,1,REP,1,REP,0,1,REP,0,NONE,0,85,0,0.0,,8.072640180587769,0.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-BASELINE,baseline,STEM,5,meta,gemma:7b,5,1,REP,1,REP,0,1,REP,0,NONE,0,45,0,0.0,,4.867968797683716,0.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-BASELINE,baseline,STEM,6,meta,gemma:7b,6,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,7,0,0.0,,1.8634212017059326,0.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-BASELINE,baseline,STEM,7,meta,gemma:7b,7,1,REP,1,REP,0,1,REP,0,NONE,0,71,0,0.0,,4.98372483253479,0.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-BASELINE,baseline,STEM,8,meta,gemma:7b,8,1,PI,1,PI,0,1,PI,0,NONE,0,20,0,0.0,,2.374211072921753,0.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-BASELINE,baseline,STEM,9,meta,gemma:7b,9,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,3,0,0.0,,2.4175631999969482,0.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-BASELINE,baseline,STEM,10,meta,gemma:7b,10,1,PI,1,PI,0,1,PI,0,NONE,0,18,0,0.0,,2.4468698501586914,0.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-BASELINE,baseline,STEM,11,meta,gemma:7b,11,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,5,0,0.0,,1.5004730224609375,0.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-BASELINE,baseline,STEM,12,meta,gemma:7b,12,1,PI,1,PI,0,1,PI,0,NONE,0,17,0,0.0,,2.458859920501709,0.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-BASELINE,baseline,STEM,13,meta,gemma:7b,13,1,REP,1,REP,0,1,REP,0,NONE,0,107,0,0.0,,7.070087909698486,0.0
