path,pillar,mode,seed,collapse_run,collapse_reason,n_interventions,n_tokens_total,n_tokens_total_model,stop_aux,stop_aux_reason,epsilon_pi,k_consecutive,rep_threshold
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_000.jsonl,HUM,baseline,0,0,NONE,0,392,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_001.jsonl,HUM,baseline,1,0,NONE,0,317,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_002.jsonl,HUM,baseline,2,0,NONE,0,350,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_003.jsonl,HUM,baseline,3,0,NONE,0,406,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_004.jsonl,HUM,baseline,4,1,REP,0,312,450,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_005.jsonl,HUM,baseline,5,0,NONE,0,362,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_006.jsonl,HUM,baseline,6,0,NONE,0,412,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_007.jsonl,HUM,baseline,7,0,NONE,0,364,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_008.jsonl,HUM,baseline,8,1,REP,0,212,359,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_009.jsonl,HUM,baseline,9,0,NONE,0,366,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_010.jsonl,HUM,baseline,10,0,NONE,0,393,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_011.jsonl,HUM,baseline,11,0,NONE,0,369,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_012.jsonl,HUM,baseline,12,0,NONE,0,317,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_013.jsonl,HUM,baseline,13,0,NONE,0,416,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_014.jsonl,HUM,baseline,14,0,NONE,0,391,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_015.jsonl,HUM,baseline,15,1,REP,0,205,249,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_016.jsonl,HUM,baseline,16,0,NONE,0,342,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_017.jsonl,HUM,baseline,17,1,REP,0,176,216,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_018.jsonl,HUM,baseline,18,0,NONE,0,320,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_019.jsonl,HUM,baseline,19,1,REP,0,326,393,0,NONE,,,
