exp_id,mode,pillar,seed,model_id,prompt_id,collapse_run,collapse_reason,core_collapse_run,core_collapse_reason,budget_exhausted,collapse_core,collapse_core_reason,stop_aux,stop_aux_reason,intervene_bin,n_tokens_total,n_interventions,intervene_density,H_pre,runtime_sec,extra_tokens_due_to_intervention
vNEXT-RE30,baseline,ETH,0,gpt2,0,1,REP,1,REP,0,1,REP,0,NONE,0,94,0,0.0,,3.778298854827881,0.0
vNEXT-RE30,baseline,ETH,1,gpt2,1,1,REP,1,REP,0,1,REP,0,NONE,0,115,0,0.0,,4.787648916244507,0.0
vNEXT-RE30,baseline,ETH,2,gpt2,2,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,63,0,0.0,,1.8722858428955078,0.0
vNEXT-RE30,baseline,ETH,3,gpt2,3,1,REP,1,REP,0,1,REP,0,NONE,0,227,0,0.0,,12.603364944458008,0.0
vNEXT-RE30,baseline,ETH,4,gpt2,4,1,REP,1,REP,0,1,REP,0,NONE,0,121,0,0.0,,4.981040000915527,0.0
vNEXT-RE30,baseline,ETH,5,gpt2,5,1,REP,1,REP,0,1,REP,0,NONE,0,201,0,0.0,,10.49889612197876,0.0
vNEXT-RE30,baseline,ETH,6,gpt2,6,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,74,0,0.0,,2.5102291107177734,0.0
vNEXT-RE30,baseline,ETH,7,gpt2,7,1,REP,1,REP,0,1,REP,0,NONE,0,248,0,0.0,,14.436177968978882,0.0
vNEXT-RE30,baseline,ETH,8,gpt2,8,1,REP,1,REP,0,1,REP,0,NONE,0,142,0,0.0,,6.367976188659668,0.0
vNEXT-RE30,baseline,ETH,9,gpt2,9,1,REP,1,REP,0,1,REP,0,NONE,0,115,0,0.0,,4.797826766967773,0.0
vNEXT-RE30,baseline,ETH,10,gpt2,10,0,NONE,0,NONE,0,0,NONE,0,NONE,0,289,0,0.0,,18.295836925506592,0.0
vNEXT-RE30,baseline,ETH,11,gpt2,11,1,REP,1,REP,0,1,REP,0,NONE,0,210,0,0.0,,11.22122597694397,0.0
vNEXT-RE30,baseline,ETH,12,gpt2,12,1,REP,1,REP,0,1,REP,0,NONE,0,123,0,0.0,,5.141871929168701,0.0
vNEXT-RE30,baseline,ETH,13,gpt2,13,1,REP,1,REP,0,1,REP,0,NONE,0,118,0,0.0,,4.702887058258057,0.0
vNEXT-RE30,baseline,ETH,14,gpt2,14,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,81,0,0.0,,2.8182930946350098,0.0
vNEXT-RE30,baseline,ETH,15,gpt2,15,1,REP,1,REP,0,1,REP,0,NONE,0,110,0,0.0,,4.511096000671387,0.0
vNEXT-RE30,baseline,ETH,16,gpt2,16,1,REP,1,REP,0,1,REP,0,NONE,0,100,0,0.0,,3.8099637031555176,0.0
vNEXT-RE30,baseline,ETH,17,gpt2,17,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,73,0,0.0,,2.4206600189208984,0.0
vNEXT-RE30,baseline,ETH,18,gpt2,18,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,75,0,0.0,,2.5582659244537354,0.0
vNEXT-RE30,baseline,ETH,19,gpt2,19,1,REP,1,REP,0,1,REP,0,NONE,0,94,0,0.0,,3.4326770305633545,0.0
vNEXT-RE30,baseline,ETH,20,gpt2,20,1,REP,1,REP,0,1,REP,0,NONE,0,105,0,0.0,,4.105660915374756,0.0
vNEXT-RE30,baseline,ETH,21,gpt2,21,1,REP,1,REP,0,1,REP,0,NONE,0,111,0,0.0,,4.53160285949707,0.0
vNEXT-RE30,baseline,ETH,22,gpt2,22,1,REP,1,REP,0,1,REP,0,NONE,0,185,0,0.0,,8.854649066925049,0.0
vNEXT-RE30,baseline,ETH,23,gpt2,23,1,REP,1,REP,0,1,REP,0,NONE,0,109,0,0.0,,4.331658840179443,0.0
vNEXT-RE30,baseline,ETH,24,gpt2,24,1,REP,1,REP,0,1,REP,0,NONE,0,140,0,0.0,,6.23727011680603,0.0
vNEXT-RE30,baseline,ETH,25,gpt2,25,1,REP,1,REP,0,1,REP,0,NONE,0,175,0,0.0,,8.44868016242981,0.0
vNEXT-RE30,baseline,ETH,26,gpt2,26,1,REP,1,REP,0,1,REP,0,NONE,0,85,0,0.0,,3.200259208679199,0.0
vNEXT-RE30,baseline,ETH,27,gpt2,27,1,REP,1,REP,0,1,REP,0,NONE,0,174,0,0.0,,8.447490930557251,0.0
