exp_id,mode,pillar,seed,model_id,prompt_id,collapse_run,collapse_reason,core_collapse_run,core_collapse_reason,budget_exhausted,collapse_core,collapse_core_reason,stop_aux,stop_aux_reason,intervene_bin,n_tokens_total,n_interventions,intervene_density,H_pre,runtime_sec,extra_tokens_due_to_intervention
vNEXT-SMOKE,baseline,ETH,0,gpt2,0,1,REP,1,REP,0,1,REP,0,NONE,0,94,0,0.0,,3.495710849761963,0.0
vNEXT-SMOKE,baseline,ETH,1,gpt2,1,1,REP,1,REP,0,1,REP,0,NONE,0,115,0,0.0,,4.835294008255005,0.0
vNEXT-SMOKE,baseline,ETH,2,gpt2,2,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,63,0,0.0,,1.8835630416870117,0.0
vNEXT-SMOKE,controlled,ETH,0,gpt2,0,0,NONE,0,NONE,0,0,NONE,0,NONE,1,533,30,0.05628517823639775,94.0,35.17320895195007,36.0
vNEXT-SMOKE,controlled,ETH,1,gpt2,1,0,NONE,0,NONE,0,0,NONE,0,NONE,1,527,22,0.04174573055028463,115.0,38.954838037490845,22.0
vNEXT-SMOKE,controlled,ETH,2,gpt2,2,0,NONE,0,NONE,0,0,NONE,0,NONE,1,534,46,0.08614232209737828,63.0,36.42393708229065,64.0
vNEXT-SMOKE,baseline,HUM,0,gpt2,0,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,99,0,0.0,,3.644690990447998,0.0
vNEXT-SMOKE,baseline,HUM,1,gpt2,1,1,REP,1,REP,0,1,REP,0,NONE,0,106,0,0.0,,3.944956064224243,0.0
vNEXT-SMOKE,baseline,HUM,2,gpt2,2,1,REP,1,REP,0,1,REP,0,NONE,0,127,0,0.0,,5.060171842575073,0.0
vNEXT-SMOKE,controlled,HUM,0,gpt2,0,0,NONE,0,NONE,0,0,NONE,0,NONE,1,553,62,0.11211573236889692,99.0,36.95996332168579,19.0
vNEXT-SMOKE,controlled,HUM,1,gpt2,1,0,NONE,0,NONE,0,0,NONE,0,NONE,1,537,94,0.1750465549348231,106.0,31.58528733253479,36.0
vNEXT-SMOKE,controlled,HUM,2,gpt2,2,0,NONE,0,NONE,0,0,NONE,0,NONE,1,541,54,0.09981515711645102,127.0,32.80840587615967,16.0
vNEXT-SMOKE,baseline,META,0,gpt2,0,1,REP,1,REP,0,1,REP,0,NONE,0,93,0,0.0,,3.5197179317474365,0.0
vNEXT-SMOKE,baseline,META,1,gpt2,1,1,REP,1,REP,0,1,REP,0,NONE,0,118,0,0.0,,4.670799255371094,0.0
vNEXT-SMOKE,baseline,META,2,gpt2,2,1,REP,1,REP,0,1,REP,0,NONE,0,170,0,0.0,,8.070935726165771,0.0
vNEXT-SMOKE,controlled,META,0,gpt2,0,0,NONE,0,NONE,0,0,NONE,0,NONE,1,530,75,0.14150943396226415,93.0,31.983514070510864,27.0
vNEXT-SMOKE,controlled,META,1,gpt2,1,0,NONE,0,NONE,0,0,NONE,0,NONE,1,536,69,0.1287313432835821,118.0,34.16494679450989,25.0
vNEXT-SMOKE,controlled,META,2,gpt2,2,0,NONE,0,NONE,0,0,NONE,0,NONE,1,533,54,0.10131332082551595,170.0,31.378723859786987,0.0
vNEXT-SMOKE,baseline,STEM,0,gpt2,0,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,14,0,0.0,,0.1269230842590332,0.0
vNEXT-SMOKE,baseline,STEM,1,gpt2,1,0,NONE,0,NONE,0,0,NONE,0,NONE,0,224,0,0.0,,12.155868768692017,0.0
vNEXT-SMOKE,baseline,STEM,2,gpt2,2,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,17,0,0.0,,0.14086580276489258,0.0
vNEXT-SMOKE,controlled,STEM,0,gpt2,0,0,NONE,0,NONE,0,0,NONE,0,NONE,1,524,87,0.16603053435114504,14.0,33.38195085525513,51.0
vNEXT-SMOKE,controlled,STEM,1,gpt2,1,0,NONE,0,NONE,0,0,NONE,0,NONE,0,224,0,0.0,,12.05769395828247,0.0
vNEXT-SMOKE,controlled,STEM,2,gpt2,2,0,NONE,0,NONE,0,0,NONE,0,NONE,1,527,17,0.03225806451612903,17.0,39.07875609397888,51.0
vNEXT-SMOKE,baseline,TEMP,0,gpt2,0,1,REP,1,REP,0,1,REP,0,NONE,0,195,0,0.0,,9.807025909423828,0.0
vNEXT-SMOKE,baseline,TEMP,1,gpt2,1,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,85,0,0.0,,2.937830924987793,0.0
vNEXT-SMOKE,baseline,TEMP,2,gpt2,2,1,REP,1,REP,0,1,REP,0,NONE,0,169,0,0.0,,7.471688985824585,0.0
vNEXT-SMOKE,controlled,TEMP,0,gpt2,0,0,NONE,0,NONE,0,0,NONE,0,NONE,1,535,36,0.06728971962616823,195.0,33.84892702102661,0.0
vNEXT-SMOKE,controlled,TEMP,1,gpt2,1,0,NONE,0,NONE,0,0,NONE,0,NONE,1,534,28,0.052434456928838954,85.0,39.679584980010986,42.0
vNEXT-SMOKE,controlled,TEMP,2,gpt2,2,0,NONE,0,NONE,0,0,NONE,0,NONE,1,549,65,0.11839708561020036,169.0,31.59304118156433,0.0
